Active Ingredient,Drug Class,SMILES,# Atoms,Length,ERROR_STATUS,smiles,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20%),F(30%),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonGenotoxic_Carcinogenicity,LD50_oral,Genotoxic_Carcinogenicity_Mutagenicity,SureChEMBL,NonBiodegradable,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle
BACITRACIN ZINC,,[Zn].CCC(C)C(N)C1=NC(CS1)C(=O)NC(CC(C)C)C(=O)NC(CCC(O)=O)C(=O)NC(C(C)CC)C(=O)NC2CCCCNC(=O)C(CC(N)=O)NC(=O)C(CC(O)=O)NC(=O)C(CC3C=NC=N3)NC(=O)C(Cc4ccccc4)NC(=O)C(NC(=O)C(CCCN)NC2=O)C(C)CC,101,186,SUCCESS,CCC(C)C(=N)C1NC(C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(C(=O)NC2CCCCNC(=O)C(CC(N)=O)NC(=O)C(CC(=O)O)NC(=O)C(Cc3c[nH]cn3)NC(=O)C(Cc3ccccc3)NC(=O)C(C(C)CC)NC(=O)C(CCCN)NC2=O)C(C)CC)CS1,-2.362,0.718,0.848,0.004,0.566,1,1,1,-7.509,4.40E-07,0.001,33.76%,0.392,32.57%,0,0.003,0.012,0.016,0.045,0.313,0,0.014,0.103,0.003,0.965,0.816,0.002,0.882,0.024,0.002,0.861,0.479,0.011,0.01,0.003,0,0.004,0.015,3.396,4.241,5.747,0,0.002,0.001,0.002,0.258,0.927,0.755,0.623,0.061,0.015,0.332,0.123,1421.75,1409.234,1.009,33,20,528.37,35,4,25,34,0,56,0.625,15,0,0,0,1,0,2,0,3,0.038,7.541,0.636,146.667,0.515,3,0,0,0,Rejected,Accepted,Rejected,Rejected
DIGITOXIN,,C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]2[C@@H](O)C[C@@H](O[C@@H]2C)O[C@H]3[C@@H](O)C[C@@H](O[C@@H]3C)O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]7(C)[C@@H](CC[C@]67O)C8=CC(=O)OC8)C4,54,182,SUCCESS,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6CC[C@]7(C)C(c8coc(O)c8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,-4.612,3.799,4.1,0.009,0.999,0.016,0.002,0.005,-5.73,8.99E-05,0.058,94.28%,0.364,8.66%,0.001,0.955,0.008,0.582,0.049,0.023,0.014,0.117,0.255,0.797,3.82,0.136,0.807,0.269,0.037,0.283,0.899,0.991,0.887,0.534,0.003,0.007,0.972,1.043,4.109,5.559,5.562,0.007,0.998,0.001,0.763,0.984,0.58,0.986,0.909,0.672,0.021,0.966,0.996,764.43,758.24,1.008,13,6,189.9,7,8,17,13,0,43,0.163,20,0,0,0,0,1,1,3,1,0.217,6.08,0.902,198.667,1.891,0,0,0,0,Rejected,Accepted,Rejected,Rejected
HISTRELIN ACETATE,,O.CCNC(=O)C1CCCN1C(=O)C(CCCNC(N)=N)NC(=O)C(CC(C)C)NC(=O)C(Cc2cn(Cc3ccccc3)cn2)NC(=O)C(Cc4ccc(O)cc4)NC(=O)C(CO)NC(=O)C(Cc5c[nH]c6ccccc56)NC(=O)C(Cc7c[nH]cn7)NC(=O)C8CCC(=O)N8.CC(O)=O,101,181,SUCCESS,CCNC(=O)C1CCCN1C(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(Cc1cn(Cc2ccccc2)cn1)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1c[nH]cn1)NC(=O)C1CCC(=O)N1,-3.208,0.55,1.329,0.484,0.998,1,1,1,-6.449,1.57E-06,0.006,72.81%,0.507,24.39%,0,0.022,0.031,0.018,0.151,0.048,0.017,0.058,0.465,0.004,1.267,0.709,0.032,0.898,0.146,0.012,0.994,0.918,0.037,0.002,0.003,0,0.003,-0.126,2.497,3.469,5.663,0.001,0.001,0.011,0.007,0.213,0.02,0.075,0.081,0.008,0.01,0.302,0.09,1322.67,1319.153,1.003,30,17,449.36,43,8,9,30,0,53,0.811,9,0,0,0,0,0,1,0,7,0.013,6.251,0.439,173.105,-0.043,1,0,0,0,Rejected,Accepted,Rejected,Rejected
DACTINOMYCIN,,CC(C)C1NC(=O)C(NC(=O)c2ccc(C)c3OC4=C(C)C(=O)C(=C(C(=O)NC5C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C6CCCN6C(=O)C(NC5=O)C(C)C)C4=Nc23)N)C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C7CCCN7C1=O,90,178,SUCCESS,Cc1ccc(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c2c1Oc1c(C)c(O)c(N)c(C(=O)N=C3C(=O)NC(C(C)C)C(=O)N4CCCC4C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC3C)c1N2,-4.961,1.287,3.571,0.853,1,0.942,0.085,0.805,-5.607,7.87E-06,0.089,95.51%,0.397,4.58%,0,0.018,0.031,0.078,0.097,0.405,0.003,0.1,0.624,0.925,3.28,0.098,0,0.989,0.982,0.002,0.403,0.112,0.044,0.003,0.003,0.001,0.012,0.568,2.964,4.362,4.57,0.004,0.004,0.601,0.944,0.267,0.909,0.736,0.86,0.008,0.169,0.916,0.91,1254.63,1243.524,1.009,28,7,358.7,9,7,19,28,0,69,0.13,9,0,0,3,0,0,7,1,8,0.085,7.177,0.597,210.636,0.402,5,0,0,0,Rejected,Accepted,Rejected,Rejected
AZITHROMYCIN DIHYDRATE,,O.O.CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,54,178,SUCCESS,CC[C@H]1OC(=O)C(C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,-3.854,2.624,3.498,1,0.995,0.032,0.002,0.021,-5.623,0.000105,0.003,36.67%,0.64,54.13%,0.002,0.102,0.008,0.957,0.002,0.028,0.01,0.205,0.052,0.911,4.563,0.846,0.471,0.902,0.901,0.134,0.076,0.006,0.098,0.055,0.003,0.007,0.941,1.142,3.561,5.872,6.362,0.008,0.017,0,0.002,0.491,0.048,0.014,0.09,0.003,0.001,0.157,0.121,748.51,764.974,0.978,14,5,180.08,7,3,15,14,0,28,0.25,18,0,0,0,0,2,1,1,1,0.238,6.133,0.974,93.12,1.852,1,0,0,0,Rejected,Accepted,Rejected,Rejected
CLARITHROMYCIN,,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC,52,176,SUCCESS,CC[C@H]1OC(=O)C(C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)CC(C)C(=O)C(C)[C@@H](O)[C@]1(C)O,-3.199,1.067,3.529,1,0.995,0.032,0.003,0.029,-5.343,0.00011,0.002,70.49%,0.833,21.31%,0.001,0.479,0.005,0.943,0.003,0.017,0.003,0.113,0.153,0.878,7.581,0.855,0.218,0.874,0.962,0.105,0.053,0.005,0.097,0.055,0.003,0.007,0.465,1.147,4.292,5.919,7.257,0.027,0.107,0,0.005,0.489,0.15,0.019,0.086,0.01,0.003,0.526,0.861,747.48,760.131,0.983,14,4,182.91,8,3,14,14,0,28,0.286,18,0,0,0,0,3,2,1,2,0.266,6.116,0.947,92.432,1.768,1,0,0,0,Rejected,Accepted,Rejected,Rejected
GOSERELIN ACETATE,,CC(C)CC(NC(=O)C(COC(C)(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc4[nH]cnc4)NC(=O)C5CCC(=O)N5)C(=O)NC(CCCN=C(N)N)C(=O)N6CCCC6C(=O)NNC(N)=O.CC(O)=O,95,175,SUCCESS,CC(C)CC(NC(=O)C(COC(C)(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1c[nH]cn1)NC(=O)C1CCC(=O)N1)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NNC(N)=O,-2.871,-0.161,0.059,0.539,1,1,1,1,-6.532,5.33E-06,0.044,16.65%,0.301,41.67%,0,0.019,0.012,0.02,0.048,0.081,0,0.039,0.177,0.004,1.226,0.636,0.012,0.815,0.613,0.014,0.996,0.531,0.024,0.003,0.003,0,0,-0.279,2.543,3.428,5.749,0.008,0,0.008,0,0.278,0.262,0.017,0.081,0.006,0.006,0.347,0.057,1268.64,1243.32,1.02,32,20,495.89,43,6,9,32,0,43,1,9,1,0,1,0,2,1,1,9,0.01,6.139,0.508,157.865,-0.021,1,0,0,0,Rejected,Accepted,Rejected,Rejected
ERYTHROMYCIN,,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,51,174,SUCCESS,CC[C@H]1OC(=O)C(C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)CC(C)C(=O)C(C)[C@@H](O)[C@]1(C)O,-3.067,0.864,3.179,1,0.996,0.048,0.004,0.041,-5.514,0.000119,0.004,65.61%,0.756,31.28%,0.002,0.224,0.006,0.911,0.002,0.024,0.003,0.097,0.077,0.792,6.396,0.863,0.155,0.894,0.961,0.093,0.047,0.005,0.086,0.062,0.003,0.008,0.225,0.835,3.971,5.505,6.662,0.107,0.093,0,0.004,0.548,0.038,0.023,0.093,0.01,0.003,0.353,0.504,733.46,742.835,0.987,14,5,193.91,7,3,14,14,0,28,0.25,18,0,0,0,0,3,2,1,1,0.238,6.088,0.946,93,1.895,1,0,0,0,Rejected,Accepted,Rejected,Rejected
ATORVASTATIN CALCIUM,,[Ca++].CC(C)c1n(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c2ccc(F)cc2)c(c3ccccc3)c1C(=O)Nc4ccccc4.CC(C)c5n(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c6ccc(F)cc6)c(c7ccccc7)c5C(=O)Nc8ccccc8,83,172,SUCCESS,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-],-5.741,1.069,3.673,0.999,0.998,0.007,0.971,0.996,-5.533,5.89E-06,0.067,98.86%,0.471,0.49%,0.232,0.064,0.621,0.082,0.954,0.948,0.049,0.16,0.282,0.717,1.637,0.093,0.277,0.984,0.979,0.056,0.262,0.99,0.044,0.797,0.003,0.014,0.698,1.733,4.991,5.067,6.747,0.949,0.052,0.827,0.934,0.176,0.009,0.823,0.443,0.006,0.151,0.867,0.073,557.25,581.518,0.958,7,3,114.62,13,4,6,8,-1,25,0.52,2,1,0,1,0,1,4,1,2,0.227,3.54,0.273,52,-0.526,0,0,0,0,Accepted,Accepted,Rejected,Rejected
GADOBENATE DIMEGLUMINE,,[Gd+3].CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[H+].[H+].[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CCN(CC([O-])=O)C(COCc1ccccc1)C([O-])=O,65,171,SUCCESS,O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CCN(CC(=O)[O-])C(COCc1ccccc1)C(=O)[O-],-0.752,-3.593,-4.536,0,0.003,0.999,0.981,0.975,-5.957,4.66E-05,0.035,12.69%,0.249,67.09%,0.001,0.007,0.009,0.048,0.046,0.957,0.006,0.078,0.004,0.006,0.779,0.441,0.037,0.971,0.024,0.058,0.011,0.005,0.67,0.467,0.863,0.163,0.016,-0.236,3.759,4.08,3.332,0.171,0.023,0.016,0,0.505,0.126,0.001,0.097,0.001,0.267,0.006,0.064,508.16,482.512,1.053,14,0,219.6,20,1,6,14,-5,11,1.818,1,0,0,0,0,2,0,0,1,0.16,4.552,0.5,26,-0.505,0,1,0,0,Rejected,Accepted,Rejected,Rejected
AZITHROMYCIN,,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)C(C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,52,170,SUCCESS,CC[C@H]1OC(=O)C(C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)C(C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,-3.888,2.559,3.499,1,0.995,0.026,0.002,0.024,-5.568,0.000127,0.003,35.52%,0.635,54.03%,0.002,0.098,0.007,0.961,0.002,0.03,0.009,0.226,0.056,0.913,4.383,0.833,0.439,0.909,0.9,0.128,0.073,0.007,0.096,0.044,0.003,0.006,0.933,1.146,3.594,6.061,6.488,0.005,0.013,0,0.002,0.483,0.069,0.014,0.104,0.003,0.001,0.154,0.108,748.51,764.974,0.978,14,5,180.08,7,3,15,14,0,28,0.25,18,0,0,0,0,2,1,1,1,0.238,6.133,0.974,93.12,1.852,1,0,0,0,Rejected,Accepted,Rejected,Rejected
CISATRACURIUM BESYLATE,,COc1ccc(C[C@@H]2c3cc(OC)c(OC)cc3CC[N@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@@+]4(C)CCc5cc(OC)c(OC)cc5[C@H]4Cc6ccc(OC)c(OC)c6)cc1OC.[O-][S](=O)(=O)c7ccccc7.[O-][S](=O)(=O)c8ccccc8,87,169,SUCCESS,COc1ccc(C[C@@H]2c3cc(OC)c(OC)cc3CC[N@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@@+]2(C)CCc3cc(OC)c(OC)cc3[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC,-2.35,5.012,1.595,0,1,0.986,1,1,-5.615,2.76E-05,0.002,68.07%,0.901,16.83%,0.001,0.701,0.025,0.938,0.001,0.321,0,0.975,0.94,0.962,4.086,0.992,0.481,0.013,0.027,0.022,0.002,0.999,0.038,0.003,0.003,0.007,0.551,0.82,4.719,5.587,7.214,0.958,0.039,0.133,0.01,0.235,0.005,0.002,0.506,0.009,0.001,0.307,0.022,928.51,967.107,0.96,14,0,126.44,26,6,10,14,2,36,0.722,4,0,0,0,2,0,3,1,0,0.038,4.742,0.509,132.3,0.36,1,1,0,0,Rejected,Accepted,Rejected,Rejected
CYCLOSPORINE,,CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,85,169,SUCCESS,C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,-4.367,3.568,4.126,1,0.799,1,0,0.012,-5.504,1.67E-05,0.019,94.26%,0.557,2.15%,0,0.011,0.043,0.704,0.054,0.056,0.038,0.05,0.869,0.928,4.899,0.251,0,0.995,0.939,0.001,0.029,0.012,0.002,0,0.003,0.001,0,0.861,2.129,3.974,5.345,0,0,0.003,0.362,0.4,0.754,0.23,0.883,0,0.223,0.621,0.009,1201.84,1267.161,0.948,23,5,278.8,15,1,33,23,0,45,0.333,12,0,0,0,0,0,1,0,1,0.148,6.878,0.79,85.73,0.983,0,0,0,0,Rejected,Accepted,Rejected,Rejected
NEOMYCIN SULFATE,,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O)[C@H]2O[C@@H]3O[C@H](CO)[C@@H](OC4O[C@@H](CN)[C@@H](O)[C@H](O)[C@H]4N)[C@H]3O)[C@H](N)[C@@H](O)[C@@H]1O.O[S](O)(=O)=O,47,167,SUCCESS,NC[C@@H]1OC(O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O,-0.531,-2.893,-4.042,0,0.836,1,1,1,-6.221,0.000424,0.428,9.90%,0.104,84.96%,0.004,0.002,0.018,0.052,0.001,0.001,0.002,0.125,0.006,0.041,0.846,0.897,0.295,0.177,0.025,0.098,0.009,0.003,0.693,0.022,0.991,0.06,0.17,0.148,3.321,2.05,5.596,0.909,0.128,0.003,0.011,0.658,0.238,0.005,0.042,0.068,0.001,0.014,0.002,614.31,552.392,1.112,19,19,353.11,9,4,6,19,0,23,0.391,19,0,0,0,0,1,2,0,1,0.115,5.544,1,88.957,1.111,0,2,0,0,Rejected,Accepted,Rejected,Rejected
LEUPROLIDE ACETATE,,CCNC(=O)C1CCCN1C(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC(=O)C(Cc3c[nH]c4ccccc34)NC(=O)C(Cc5[nH]cnc5)NC(=O)C6CCC(=O)N6.CC(O)=O,91,166,SUCCESS,CCNC(=O)C1CCCN1C(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1c[nH]cn1)NC(=O)C1CCC(=O)N1,-3.315,1.081,1.576,0.832,1,1,0.99,0.999,-6.518,2.36E-06,0.005,62.10%,0.45,29.61%,0,0.025,0.028,0.024,0.101,0.055,0.004,0.057,0.348,0.005,1.442,0.628,0.025,0.927,0.028,0.005,0.998,0.815,0.029,0.002,0.003,0.001,0.002,-0.04,2.695,3.889,5.858,0.004,0.001,0.011,0.007,0.244,0.074,0.218,0.223,0.01,0.01,0.423,0.102,1208.65,1206.383,1.002,28,17,431.54,41,6,9,28,0,42,0.976,9,0,0,0,0,0,1,0,6,0.015,5.899,0.525,148.311,0.05,1,0,0,0,Rejected,Accepted,Rejected,Rejected
EVANS BLUE,,[Na+].[Na+].[Na+].[Na+].Cc1cc(ccc1N\N=C\2C=Cc3c(cc(c(N)c3C2=O)[S]([O-])(=O)=O)[S]([O-])(=O)=O)c4ccc(N\N=C\5C=Cc6c(cc(c(N)c6C5=O)[S]([O-])(=O)=O)[S]([O-])(=O)=O)c(C)c4,62,166,SUCCESS,Cc1cc(-c2ccc(N=Nc3ccc4c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c(N)c4c3O)c(C)c2)ccc1N=Nc1ccc2c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c(N)c2c1O,-5.041,0.175,3.429,0.045,0,0.859,0.65,0.171,-4.914,4.16E-05,0,103.46%,0.086,0.72%,0.196,0.131,0.176,0.216,0.493,0.994,0.004,0.464,0.021,0.011,0.299,0.004,0.003,0.497,0.835,0.092,0.004,0.957,0.7,0.9,0.003,0.882,0.186,0.577,4.118,5.245,5.9,0.001,0.004,0.556,0.007,0.291,0.523,0.001,0.333,0,0,0.656,0.011,868.03,755.632,1.149,20,6,370.74,9,6,10,24,-4,44,0.205,0,0,0,12,3,2,5,1,6,0.081,4.317,0.059,50,-0.226,8,3,0,1,Rejected,Accepted,Rejected,Rejected
TRYPAN BLUE,,[Na+].[Na+].[Na+].[Na+].Cc1cc(ccc1N\N=C/2C(=O)c3c(N)cc(cc3C=C2[S]([O-])(=O)=O)[S]([O-])(=O)=O)c4ccc(N\N=C/5C(=O)c6c(N)cc(cc6C=C5[S]([O-])(=O)=O)[S]([O-])(=O)=O)c(C)c4,62,166,SUCCESS,Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)[O-])cc4cc(S(=O)(=O)[O-])cc(N)c4c3O)c(C)c2)ccc1N=Nc1c(S(=O)(=O)[O-])cc2cc(S(=O)(=O)[O-])cc(N)c2c1O,-3.62,-0.008,3.298,0.051,0,0.841,0.662,0.243,-4.934,1.89E-05,0,103.93%,0.055,0.61%,0.253,0.114,0.228,0.068,0.612,0.991,0.015,0.219,0.062,0.015,-0.004,0.005,0.006,0.596,0.569,0.191,0.002,0.946,0.172,0.268,0.003,0.83,0.302,0.351,4.071,4.91,5.561,0.001,0.001,0.534,0.002,0.303,0.412,0.001,0.253,0,0,0.615,0.007,868.03,755.632,1.149,20,6,370.74,9,6,10,24,-4,44,0.205,0,0,0,12,3,2,5,1,6,0.081,4.383,0.059,50,-0.265,8,3,0,1,Rejected,Accepted,Rejected,Rejected
PIMECROLIMUS,,CC[C@@H]1/C=C(/C)C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(C)=C\[C@@H]4CC[C@H](Cl)[C@@H](C4)OC,56,166,SUCCESS,CCC1=CC(C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCCC3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@H](Cl)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,-5.38,5.18,6.397,1,0.956,0.945,0.004,0.83,-4.791,3.89E-05,0.022,91.63%,1.835,3.80%,0.002,0.115,0.03,0.811,0.071,0.006,0.004,0.067,0.95,0.75,7.834,0.026,0.389,0.986,0.941,0.166,0.772,0.938,0.951,0.074,0.003,0.006,0.705,0.847,4.399,5.754,4.758,0.005,0.047,0.003,0.827,0.456,0.225,0.342,0.901,0.012,0.178,0.841,0.949,809.45,825.14,0.981,12,2,158.13,6,4,27,13,0,41,0.146,14,2,0,4,0,2,5,6,2,0.146,6.963,0.814,92.436,1.424,2,1,0,0,Rejected,Accepted,Rejected,Rejected
GONADORELIN HYDROCHLORIDE,,[H+].[Cl-].CC(C)CC(NC(=O)CNC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc4[nH]cnc4)NC(=O)C5CCC(=O)N5)C(=O)NC(CCCN=C(N)N)C(=O)N6CCCC6C(=O)NCC(N)=O,87,166,SUCCESS,CC(C)CC(NC(=O)CNC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1c[nH]cn1)NC(=O)C1CCC(=O)N1)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NCC(N)=O,-3.084,-1.566,-1.305,0.088,0.998,1,1,1,-6.515,2.82E-06,0.015,33.90%,0.401,47.15%,0,0.016,0.015,0.017,0.083,0.022,0,0.035,0.161,0.001,0.805,0.694,0.025,0.828,0.011,0.005,0.992,0.347,0.038,0.002,0.003,0.001,0.002,-0.255,2.318,3.58,5.559,0.101,0.001,0.003,0,0.273,0.608,0.014,0.038,0.003,0.001,0.149,0.055,1181.57,1154.349,1.024,30,19,474.63,40,6,9,30,0,43,0.93,8,0,0,0,0,0,1,0,6,0.013,5.778,0.473,145.951,-0.018,1,0,0,0,Rejected,Accepted,Rejected,Rejected
AMIKACIN SULFATE,,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O.O[S](O)(=O)=O.O[S](O)(=O)=O,50,165,SUCCESS,NCCC(=O)C(O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,-0.058,-3.745,-4.108,0,0.658,1,0.996,1,-6.24,0.000338,0.437,13.59%,0.219,86.15%,0.004,0.003,0.012,0.046,0.001,0.011,0,0.125,0.002,0.009,0.897,0.869,0.17,0.173,0.017,0.101,0.002,0.002,0.494,0.021,0.003,0.031,0.219,0.032,1.884,1.218,2.749,0.896,0.214,0.001,0.004,0.711,0.127,0.002,0.025,0.025,0,0.007,0.004,585.29,530.019,1.104,18,17,331.94,11,3,6,18,0,19,0.579,16,0,0,0,0,2,3,0,2,0.1,5.489,0.955,71.349,1.386,0,3,0,0,Rejected,Accepted,Rejected,Rejected
